TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
PDGR3;1,41;;-0,62;-0,02;0,06;19,23;-81,42;-29,39;-0,22;-3,13;-2,91;;0,18;-0,04;-0,29;0,34;-2,44;-9,98;8,85;-4,09;5,09;0,34;11,86;;1.926.456,85;-92,85;-2,27;0,01;79.148.174,37
PDTC3;4,57;;14,03;2,79;0,83;35,67;16,10;7,43;6,48;6,85;0,37;0,16;1,04;2,32;-3,48;1,90;19,91;5,94;19,72;0,30;0,70;0,80;225,48;-24,61;321.920,25;1,64;0,33;0,29;358.515.490,03
PEAB3;62,10;19,34;5,90;1,21;1,05;61,75;562,89;450,72;4,73;3,70;-1,52;-0,39;26,61;2,63;-1,84;16,04;20,42;17,82;17,81;0,87;0,13;0,04;-37,48;14,99;8.017,57;51,50;10,52;-0,08;880.886.556,90
PEAB4;75,00;17,61;7,13;1,46;1,27;61,75;562,89;450,72;5,71;3,70;-1,52;-0,39;32,14;3,17;-2,22;16,04;20,42;17,82;17,81;0,87;0,13;0,04;-37,48;14,99;16.280,22;51,50;10,52;-0,10;880.886.556,90
PETR3;33,30;23,43;4,07;1,12;0,45;48,52;46,58;23,56;2,06;3,24;1,26;0,68;0,96;13,03;-0,54;1,25;27,38;10,96;23,21;0,40;0,60;0,47;9,88;;623.318.780,48;29,87;8,18;0,00;417.687.660.260,76
PETR4;30,32;25,73;3,71;1,02;0,41;48,52;46,58;23,56;1,88;3,24;1,26;0,68;0,87;11,87;-0,49;1,25;27,38;10,96;23,21;0,40;0,60;0,47;9,88;;2.420.807.507,63;29,87;8,18;0,00;417.687.660.260,76
PETZ3;15,67;0,27;96,05;4,10;2,09;48,29;7,73;3,58;44,43;41,58;-2,85;-0,26;3,44;10,87;-3,46;1,95;4,27;2,18;7,17;0,51;0,49;0,61;;;150.181.362,55;3,83;0,16;3,37;7.207.262.855,65
PFRM3;4,09;6,62;6,48;0,34;0,13;14,15;2,04;1,22;3,87;6,70;2,83;0,25;0,08;0,59;-0,35;1,50;5,30;1,94;4,93;0,37;0,63;1,59;9,44;;528.958,05;11,92;0,63;0,13;506.394.241,57
PGMN3;8,35;;22,53;1,77;0,56;32,15;4,97;2,18;9,91;11,34;1,43;0,26;0,49;2,81;-1,21;1,60;7,87;2,50;11,13;0,32;0,68;1,15;6,32;31,57;9.427.785,18;4,71;0,37;1,71;3.705.571.867,70
PINE3;0,00;;0,00;0,00;0,00;16,63;-0,64;0,59;0,00;-16,14;;;0,00;0,00;0,00;0,58;0,76;0,04;;0,05;0,95;0,06;9,53;;;5,26;0,04;0,00;102.337.690,02
PINE4;1,41;;35,50;0,27;0,01;16,63;-0,64;0,59;-32,95;-16,14;;;0,21;-0,07;-0,02;0,58;0,76;0,04;;0,05;0,95;0,06;9,53;;441.600,35;5,26;0,04;-0,32;102.337.690,02
